Perk 1,Score 1,Perk 2,Score 2,Perk 3,Score 3,Perk 4,Score 4,Masterwork,Score 5,Maximum Score
Arrowhead Brake,3,Extended Mag,3,Slideways,0,One For All,3,Stability,2,23
Chambered Compensator,1,Alloy Magazine,2,Surplus,3,Unrelenting,0,Range,3,
Corkscrew Rifling,4,Appended Mag,4,Killing Wind,1,Frenzy,0,Handling,1,
Extended Barrel,5,Armour Peircing Rounds,4,Feeding Frenzy,5,Multikill Clip,3,Reload,2,
Fluted Barrel,2,High-Caliber Rounds,2,Moving Target,1,Sympathetic Aresnal,0,,,
Full Bore,4,Ricochet Rounds,4,Genesis,2,Dragonfly,3,,,
Hammer-Forged Rifling,4,Flared Magwell,3,Zen Moment,3,Disruption Break,4,,,
Polygonal Rifling,2,Light Mag,5,Rangefinder,2,Opening Shot,0,,,
Smallbore,5,,,Subsistence,4,Headseeker,1,,,
,,,,Hip-Fire Grip,0,Vorpal Weapon,4,,,
,,,,Slideshot,1,Rampage,5,,,
,,,,Quickdraw,1,Elemental Capacitor,0,,,
