Perk 1,Score 1,Perk 2,Score 2,Perk 3,Score 3,Perk 4,Score 4,Masterwork,Score 5,Maximum Score
Volatile Launch,0,Alloy Casing,5,Underdog,0,One For All,0,Stability ,0,22
Confined Launch,0,Black Powder,0,Rangefinder,0,Wellspring,0,Handling,2,
Countermass,0,High-Velocity Rounds,1,Field Prep,3,Thresh,0,Reload,3,
Hard Launch,4,Implosion Rounds,0,Threat Detector,0,Unrelenting,0,blast_radius,2,
Linear Compensator,2,Impact Casing,5,Auto-Loading Holster ,5,Chain Reaction,3,projectile_speed,3,
Quick Launch,4,,,Quickdraw,1,Ambitious Assassin,1,,,
Smart Drift Control,2,,,Impulse Amplifier,5,Lasting Impression,5,,,
,,,,Genesis,1,Cluster Bomb,3,,,
,,,,Moving Target,0,Clown Cartridge,5,,,
,,,,,,Demolitionist,3,,,
